drugbank_id	metabolights_id	name	inchi_key
DB13789	MTBLC30928	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC30929	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC35398	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC35399	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC35400	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC48929	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC48930	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC48931	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13793	MTBLC4740	Vinburnine	WYJAPUKIYAZSEM-MOPGFXCFSA-N
DB13793	MTBLC95313	Vinburnine	WYJAPUKIYAZSEM-MOPGFXCFSA-N
DB13800	MTBLC29108	Calcium levulinate	APKDPOQXVKRLEP-UHFFFAOYSA-L
DB13800	MTBLC39150	Calcium levulinate	APKDPOQXVKRLEP-UHFFFAOYSA-L
DB13800	MTBLC45630	Calcium levulinate	APKDPOQXVKRLEP-UHFFFAOYSA-L
DB13810	MTBLC135048	Dimemorfan	KBEZZLAAKIIPFK-NJAFHUGGSA-N
DB13810	MTBLC31496	Dimemorfan	KBEZZLAAKIIPFK-NJAFHUGGSA-N
DB13812	MTBLC28177	Bufylline	SEIRRUDMPNNSCY-UHFFFAOYSA-N
DB13818	MTBLC15377	Bibrocathol	VTAVFIZOZUAKKE-UHFFFAOYSA-K
DB13818	MTBLC16234	Bibrocathol	VTAVFIZOZUAKKE-UHFFFAOYSA-K
DB13818	MTBLC29374	Bibrocathol	VTAVFIZOZUAKKE-UHFFFAOYSA-K
DB13818	MTBLC29375	Bibrocathol	VTAVFIZOZUAKKE-UHFFFAOYSA-K
DB13818	MTBLC29412	Bibrocathol	VTAVFIZOZUAKKE-UHFFFAOYSA-K
DB13818	MTBLC33806	Bibrocathol	VTAVFIZOZUAKKE-UHFFFAOYSA-K
DB13818	MTBLC33811	Bibrocathol	VTAVFIZOZUAKKE-UHFFFAOYSA-K
DB13818	MTBLC33813	Bibrocathol	VTAVFIZOZUAKKE-UHFFFAOYSA-K
DB13818	MTBLC41981	Bibrocathol	VTAVFIZOZUAKKE-UHFFFAOYSA-K
DB13829	MTBLC29108	Calcium silicate	LECAAGVQUHQAJK-UHFFFAOYSA-N
DB13831	MTBLC18291	Potassium permanganate	VZJVWSHVAAUDKD-UHFFFAOYSA-N
DB13831	MTBLC29103	Potassium permanganate	VZJVWSHVAAUDKD-UHFFFAOYSA-N
DB13833	MTBLC134749	Methylatropine	PIPAJLPNWZMYQA-KNCRFDSUSA-N
DB13833	MTBLC94847	Methylatropine	PIPAJLPNWZMYQA-KNCRFDSUSA-N
DB13834	MTBLC15377	Phenylmercuric borate	OASPSZUQLPQSSC-UHFFFAOYSA-M
DB13834	MTBLC16234	Phenylmercuric borate	OASPSZUQLPQSSC-UHFFFAOYSA-M
DB13834	MTBLC29374	Phenylmercuric borate	OASPSZUQLPQSSC-UHFFFAOYSA-M
DB13834	MTBLC29375	Phenylmercuric borate	OASPSZUQLPQSSC-UHFFFAOYSA-M
DB13834	MTBLC29412	Phenylmercuric borate	OASPSZUQLPQSSC-UHFFFAOYSA-M
DB13834	MTBLC33806	Phenylmercuric borate	OASPSZUQLPQSSC-UHFFFAOYSA-M
DB13834	MTBLC33811	Phenylmercuric borate	OASPSZUQLPQSSC-UHFFFAOYSA-M
DB13834	MTBLC33813	Phenylmercuric borate	OASPSZUQLPQSSC-UHFFFAOYSA-M
DB13834	MTBLC41981	Phenylmercuric borate	OASPSZUQLPQSSC-UHFFFAOYSA-M
DB13847	MTBLC15138	Rhenium Re-186 sulfide	USBWXQYIYZPMMN-CLJOKXJZSA-N
DB13848	MTBLC49163	Fluorodopa (18F)	PAXWQORCRCBOCU-RPDRGXCHSA-N
DB13848	MTBLC49166	Fluorodopa (18F)	PAXWQORCRCBOCU-RPDRGXCHSA-N
DB13854	MTBLC28661	Gamolenic acid	VZCCETWTMQHEPK-QNEBEIHSSA-N
DB13854	MTBLC32391	Gamolenic acid	VZCCETWTMQHEPK-QNEBEIHSSA-N
DB13860	MTBLC16914	Imidazole salicylate	XCHHJFVNQPPLJK-UHFFFAOYSA-N
DB13860	MTBLC30762	Imidazole salicylate	XCHHJFVNQPPLJK-UHFFFAOYSA-N
DB13862	MTBLC18367	Magnesium phosphate	GVALZJMUIHGIMD-UHFFFAOYSA-H
DB13862	MTBLC26078	Magnesium phosphate	GVALZJMUIHGIMD-UHFFFAOYSA-H
DB13862	MTBLC39745	Magnesium phosphate	GVALZJMUIHGIMD-UHFFFAOYSA-H
DB13862	MTBLC43474	Magnesium phosphate	GVALZJMUIHGIMD-UHFFFAOYSA-H
DB13863	MTBLC16905	Fosfructose	XPYBSIWDXQFNMH-UYFOZJQFSA-N
DB13863	MTBLC49093	Fosfructose	XPYBSIWDXQFNMH-UYFOZJQFSA-N
DB13868	MTBLC134512	Adefovir	SUPKOOSCJHTBAH-UHFFFAOYSA-N
DB13868	MTBLC2469	Adefovir	SUPKOOSCJHTBAH-UHFFFAOYSA-N
DB13873	MTBLC83469	Fenofibric acid	MQOBSOSZFYZQOK-UHFFFAOYSA-N
DB13875	MTBLC28172	Harmaline	RERZNCLIYCABFS-UHFFFAOYSA-N
DB13909	MTBLC15377	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC16234	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC16918	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC29374	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC29375	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC29412	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC30778	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC33806	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC33811	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC33813	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13909	MTBLC41981	Bismuth subgallate	JAONZGLTYYUPCT-UHFFFAOYSA-K
DB13911	MTBLC29101	Phloxine B	GVKCHTBDSMQENH-UHFFFAOYSA-L
