drugbank_id	recon_id	inchi_key
DB00815	na1	DBMJMQXJHONAFJ-UHFFFAOYSA-M
DB00829	C06948	AAOVKJBEBIDNHE-UHFFFAOYSA-N
DB00847	cysam	UFULAYFCSOUIOV-UHFFFAOYSA-N
DB00855	5aop	ZGXJTSGNIOSYLO-UHFFFAOYSA-N
DB00895	lys_L	IMPVZRLKKKXMKQ-SGDOCVTFSA-N
DB00898	etoh	LFQSCWFLJHTTHZ-UHFFFAOYSA-N
DB00907	coke	ZPUCINDJVBIVPJ-LJISPDSOSA-N
DB00917	prostge2	XEYBRNLFEZDVAW-ARSRFYASSA-N
DB00958	nh4	OLESAACUTLOWQZ-UHFFFAOYSA-L
DB00982	13_cis_retn	SHGAZHPCJJPHSC-XFYACQKRSA-N
DB00982	CE1617	SHGAZHPCJJPHSC-XFYACQKRSA-N
DB00982	CE5594	SHGAZHPCJJPHSC-XFYACQKRSA-N
DB00982	retn	SHGAZHPCJJPHSC-XFYACQKRSA-N
DB00987	cytd	UHDGCWIWMRVCDJ-CCXZUQQUSA-N
DB00988	dopa	VYFYYTLLBUKUHU-UHFFFAOYSA-N
DB01022	phyQ	MBWXNTAXLNYFJB-NKFFZRIASA-N
DB01065	melatn	DRLFMBDRBRZALE-UHFFFAOYSA-N
DB01115	nifedipine	HYIMSNHJOBLJNT-UHFFFAOYSA-N
DB01124	tolbutamide	JLRGJRBPOGGCBT-UHFFFAOYSA-N
DB01160	CE5924	IYGXEHDCSOYNKY-RZHHZEQLSA-N
DB01160	HC02216	IYGXEHDCSOYNKY-RZHHZEQLSA-N
DB01160	prostgf2	IYGXEHDCSOYNKY-RZHHZEQLSA-N
DB01164	ca2	UXVMQQNJUSDDNG-UHFFFAOYSA-L
DB01164	cl	UXVMQQNJUSDDNG-UHFFFAOYSA-L
DB01229	taxol	RCINICONZNJXQF-MZXODVADSA-N
DB01235	34dhphe	WTDRDQBEARUVNC-LURJTMIESA-N
DB01240	prostgi2	KAQKFAOMNZTLHT-OZUDYXHBSA-N
DB01265	thymd	IQFYYKKMVGJFEH-CSMHCCOUSA-N
DB01294	h2o	ZREIPSZUJIFJNP-UHFFFAOYSA-K
DB01294	oh1	ZREIPSZUJIFJNP-UHFFFAOYSA-K
DB01296	gam	MSWZFWKMSRAUBD-IVMDWMLBSA-N
DB01303	chol	RLANKEDHRWMNRO-UHFFFAOYSA-M
DB01345	k	NPYPAHLBTDXSSS-UHFFFAOYSA-N
DB01375	h2o	UGMCXQCYOVCMTB-UHFFFAOYSA-K
DB01375	ocdca	UGMCXQCYOVCMTB-UHFFFAOYSA-K
DB01375	oh1	UGMCXQCYOVCMTB-UHFFFAOYSA-K
