drugbank_id	pubchem_tpharma_id	inchi_key
DB00117	96040640	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	14793054	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14805656	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14805657	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14830370	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14840385	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14841069	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14862236	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14863197	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14887304	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14912797	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14912835	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14915681	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14930202	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14938527	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14939993	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14962317	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14964522	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14965097	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14983241	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	14988451	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15009032	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15011431	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15012225	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15012966	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15013767	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15014548	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15038185	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15038390	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15038807	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15039000	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15039066	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15039067	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15039274	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15039690	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15061105	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15062894	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15064197	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15064637	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15082724	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15084736	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15088535	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15110435	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15111790	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15134207	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15145185	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15162762	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15180629	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15186459	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15228574	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15255722	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15257848	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15261175	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15261673	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15262310	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15262431	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15262602	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15262729	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15281277	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15288912	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15313050	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15356011	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15360181	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15360628	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15361452	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15382011	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15384751	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15384920	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15385406	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15407927	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15410325	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15410813	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15431625	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15431636	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15432561	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15432684	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15433705	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15456314	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15459229	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15479910	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15484383	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15485359	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15507336	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15507711	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15508172	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	15508324	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	16186764	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	163471916	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	16470940	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	16477986	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	16544612	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	16608020	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	16812301	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	16862251	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	16865455	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	16873765	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	24747782	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	26514731	MEFKEPWMEQBLKI-AIRLBKTGSA-N
