drugbank_id	chebi_id	inchi_key
DB00150	64554	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00151	15356	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	16375	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	17561	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	32442	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	32443	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	32445	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	32449	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	32450	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	32451	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	32456	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	32457	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	32458	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	35235	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	35236	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	35237	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00152	18385	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00152	49107	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	28934	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00153	95213	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00154	53486	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00154	71589	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00155	16349	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00155	18211	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00155	49007	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00155	57743	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00155	66922	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00156	16398	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	16857	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	28718	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	32820	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	32822	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	32826	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	32827	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	32828	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	38263	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	57757	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	57926	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	58585	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	58645	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00157	16908	BOPGDPNILDQYTO-NNYOXOHSSA-N
DB00157	57945	BOPGDPNILDQYTO-NNYOXOHSSA-N
DB00157	77176	BOPGDPNILDQYTO-NNYOXOHSSA-N
DB00157	77311	BOPGDPNILDQYTO-NNYOXOHSSA-N
DB00158	27470	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00158	62501	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	28364	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00159	58562	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00159	92823	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00160	132498	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	143534	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	15570	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	16449	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	16977	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	32431	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	32432	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	32435	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	32436	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	32439	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	32440	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	57416	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	57972	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	66916	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	76050	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	16414	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	27266	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	27477	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	32851	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	32852	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	32855	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	32856	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	32859	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	32860	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	57762	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	74338	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	87977	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	16302	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	17336	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	45479	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	50211	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	78272	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00163	18145	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00163	46430	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00163	93909	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00165	16709	LXNHXLLTXMVWPM-UHFFFAOYSA-N
DB00166	16494	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00166	30313	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00166	30314	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00166	43796	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00166	83088	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00167	17191	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	20899	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	27730	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	32604	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	32605	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	32608	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	32609	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	38264	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	43433	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	58045	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	85306	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	85338	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00168	2877	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00169	145213	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00169	28940	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00170	28869	MJVAVZPDRWSRRC-UHFFFAOYSA-N
DB00171	15422	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
DB00171	30616	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
DB00171	57299	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
DB00172	16313	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	17203	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	26271	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	32862	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	32864	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	32867	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	32868	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	32871	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	32872	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	57726	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	60039	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00173	16708	GFFGJBXGBJISGV-UHFFFAOYSA-N
DB00174	17196	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	22653	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	28159	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	32650	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	32651	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	32656	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	32657	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	32660	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	32661	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	58048	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	74337	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00175	63618	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	63660	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	8361	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	91841	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	94322	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	94554	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00176	5138	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00176	5139	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00176	93274	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00177	94331	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00177	9927	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00178	8774	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00178	91811	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00178	94475	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00179	73468	HCZKYJDFEPMADG-TXEJJXNPSA-N
DB00179	7625	HCZKYJDFEPMADG-TXEJJXNPSA-N
DB00180	5106	XSFJVAJPIHIPKU-XWCQMRHXSA-N
DB00181	2972	KPYSYYIEGFHWSV-UHFFFAOYSA-N
