drugbank_id	kegg_ligand_id	inchi_key
DB00162	C17276	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00163	C02477	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00165	C00314	LXNHXLLTXMVWPM-UHFFFAOYSA-N
DB00166	C00725	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00166	C16241	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00167	C00407	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	C06418	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	C16434	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00168	C11045	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00169	C05443	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00170	C05377	MJVAVZPDRWSRRC-UHFFFAOYSA-N
DB00171	C00002	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
DB00172	C00148	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	C00763	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	C16435	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00173	C00147	GFFGJBXGBJISGV-UHFFFAOYSA-N
DB00174	C00152	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	C01905	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	C16438	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00175	C01844	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00176	C07571	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00179	C10719	HCZKYJDFEPMADG-TXEJJXNPSA-N
DB00180	C07005	XSFJVAJPIHIPKU-XWCQMRHXSA-N
DB00182	C07514	KWTSXDURSIMDCE-UHFFFAOYSA-N
DB00182	C07884	KWTSXDURSIMDCE-UHFFFAOYSA-N
DB00184	C00745	SNICXCGAKADSCV-JTQLQIEISA-N
DB00184	C16150	SNICXCGAKADSCV-JTQLQIEISA-N
DB00184	C16386	SNICXCGAKADSCV-JTQLQIEISA-N
