drugbank_id	mcule_id	inchi_key
DB00165	MCULE-7725975962	LXNHXLLTXMVWPM-UHFFFAOYSA-N
DB00166	MCULE-1034910084	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00166	MCULE-3939318333	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00166	MCULE-4196115946	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00166	MCULE-5119858094	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00167	MCULE-2215911951	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00167	MCULE-9861955295	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00168	MCULE-6825805537	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00168	MCULE-7062406084	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00168	MCULE-7154634176	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00168	MCULE-7493691716	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00168	MCULE-8056607902	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00168	MCULE-9164230758	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00169	MCULE-2976841469	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00169	MCULE-4351239417	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00170	MCULE-2487773379	MJVAVZPDRWSRRC-UHFFFAOYSA-N
DB00172	MCULE-1020921088	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	MCULE-2229401513	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	MCULE-5856142508	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	MCULE-7748032436	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	MCULE-8415049837	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00173	MCULE-6556342774	GFFGJBXGBJISGV-UHFFFAOYSA-N
DB00174	MCULE-1395307434	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	MCULE-1868046141	DCXYFEDJOCDNAF-REOHCLBHSA-N
