drugbank_id	dailtmed_new_id	inchi_key
DB00282	PAMIDRONIC ACID	WRUUGTRCQOWXEG-UHFFFAOYSA-N
DB00283	CLEMASTINE	YNNUSGIPVFPVBX-NHCUHLMSSA-N
DB00283	CLEMASTINE FUMARATE	YNNUSGIPVFPVBX-NHCUHLMSSA-N
DB00285	VENLAFAXINE	PNVNVHUZROJLTJ-UHFFFAOYSA-N
DB00285	VENLAFAXINE HYDROCHLORIDE	PNVNVHUZROJLTJ-UHFFFAOYSA-N
DB00287	TRAVOPROST	MKPLKVHSHYCHOC-AHTXBMBWSA-N
DB00288	AMCINONIDE	ILKJAFIWWBXGDU-MOGDOJJUSA-N
DB00289	ATOMOXETINE	VHGCDTVCOLNTBX-QGZVFWFLSA-N
DB00289	ATOMOXETINE HYDROCHLORIDE	VHGCDTVCOLNTBX-QGZVFWFLSA-N
DB00290	BLEOMYCIN	OYVAGSVQBOHSSS-WXFSZRTFSA-O
DB00290	BLEOMYCIN SULFATE	OYVAGSVQBOHSSS-WXFSZRTFSA-O
DB00291	CHLORAMBUCIL	JCKYGMPEJWAADB-UHFFFAOYSA-N
DB00292	ETOMIDATE	NPUKDXXFDDZOKR-LLVKDONJSA-N
DB00294	ETONOGESTREL	GCKFUYQCUCGESZ-BPIQYHPVSA-N
DB00295	MORPHINE	BQJCRHHNABKAKU-KBQPJGBKSA-N
DB00296	ROPIVACAINE	ZKMNUMMKYBVTFN-HNNXBMFYSA-N
DB00296	ROPIVACAINE HYDROCHLORIDE	ZKMNUMMKYBVTFN-HNNXBMFYSA-N
DB00297	BUPIVACAINE	LEBVLXFERQHONN-UHFFFAOYSA-N
DB00297	BUPIVACAINE HYDROCHLORIDE	LEBVLXFERQHONN-UHFFFAOYSA-N
DB00298	DAPIPRAZOLE	RFWZESUMWJKKRN-UHFFFAOYSA-N
DB00298	DAPIPRAZOLE HYDROCHLORIDE	RFWZESUMWJKKRN-UHFFFAOYSA-N
DB00299	PENCICLOVIR	JNTOCHDNEULJHD-UHFFFAOYSA-N
DB00300	TENOFOVIR DISOPROXIL	JFVZFKDSXNQEJW-CQSZACIVSA-N
DB00300	TENOFOVIR DISOPROXIL FUMARATE	JFVZFKDSXNQEJW-CQSZACIVSA-N
DB00302	TRANEXAMIC ACID	GYDJEQRTZSCIOI-LJGSYFOKSA-N
DB00303	ERTAPENEM	JUZNIMUFDBIJCM-ANEDZVCMSA-N
DB00303	ERTAPENEM SODIUM	JUZNIMUFDBIJCM-ANEDZVCMSA-N
DB00304	DESOGESTREL	RPLCPCMSCLEKRS-BPIQYHPVSA-N
DB00305	MITOMYCIN	NWIBSHFKIJFRCO-WUDYKRTCSA-N
DB00307	BEXAROTENE	NAVMQTYZDKMPEU-UHFFFAOYSA-N
DB00308	IBUTILIDE	ALOBUEHUHMBRLE-UHFFFAOYSA-N
DB00308	IBUTILIDE FUMARATE	ALOBUEHUHMBRLE-UHFFFAOYSA-N
DB00310	CHLORTHALIDONE	JIVPVXMEBJLZRO-UHFFFAOYSA-N
DB00312	PENTOBARBITAL	WEXRUCMBJFQVBZ-UHFFFAOYSA-N
DB00313	VALPROIC ACID	NIJJYAXOARWZEE-UHFFFAOYSA-N
DB00314	CAPREOMYCIN	VCOPTHOUUNAYKQ-WBTCAYNUSA-N
DB00314	CAPREOMYCIN SULFATE	VCOPTHOUUNAYKQ-WBTCAYNUSA-N
DB00315	ZOLMITRIPTAN	ULSDMUVEXKOYBU-ZDUSSCGKSA-N
DB00316	ACETAMINOPHEN	RZVAJINKPMORJF-UHFFFAOYSA-N
DB00317	GEFITINIB	XGALLCVXEZPNRQ-UHFFFAOYSA-N
DB00318	CODEINE	OROGSEYTTFOCAN-DNJOTXNNSA-N
DB00319	PIPERACILLIN	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00319	PIPERACILLIN SODIUM	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00320	DIHYDROERGOTAMINE	LUZRJRNZXALNLM-JGRZULCMSA-N
DB00320	DIHYDROERGOTAMINE MESYLATE	LUZRJRNZXALNLM-JGRZULCMSA-N
DB00321	AMITRIPTYLINE	KRMDCWKBEZIMAB-UHFFFAOYSA-N
DB00321	AMITRIPTYLINE HYDROCHLORIDE	KRMDCWKBEZIMAB-UHFFFAOYSA-N
DB00322	FLOXURIDINE	ODKNJVUHOIMIIZ-RRKCRQDMSA-N
DB00323	TOLCAPONE	MIQPIUSUKVNLNT-UHFFFAOYSA-N
DB00324	FLUOROMETHOLONE	FAOZLTXFLGPHNG-KNAQIMQKSA-N
DB00326	CALCIUM GLUCEPTATE	FATUQANACHZLRT-KMRXSBRUSA-L
DB00327	HYDROMORPHONE	WVLOADHCBXTIJK-YNHQPCIGSA-N
DB00327	HYDROMORPHONE HYDROCHLORIDE	WVLOADHCBXTIJK-YNHQPCIGSA-N
DB00328	INDOMETHACIN	CGIGDMFJXJATDK-UHFFFAOYSA-N
DB00330	ETHAMBUTOL	AEUTYOVWOVBAKS-UWVGGRQHSA-N
DB00331	METFORMIN	XZWYZXLIPXDOLR-UHFFFAOYSA-N
